Date,Price,Open,High,Low,Close
2015-03-09,,274.81,292.7,273.89,289.61
2015-03-10,,289.86,300.04,289.74,291.76
2015-03-11,,291.52,297.39,290.51,296.38
2015-03-12,,296.13,297.09,292.41,294.35
2015-03-13,,294.12,294.5,285.34,285.34
2015-03-14,,284.44,286.34,280.98,281.89
2015-03-15,,281.42,286.53,281.0,286.39
2015-03-16,,285.68,294.11,285.68,290.59
2015-03-17,,290.6,292.36,284.37,285.51
2015-03-18,,285.07,285.34,249.87,256.3
2015-03-19,,255.88,264.24,248.64,260.93
2015-03-20,,260.96,264.85,259.16,261.75
2015-03-21,,261.64,262.2,255.65,260.02
2015-03-22,,259.92,269.75,259.59,267.96
2015-03-23,,267.89,277.3,261.74,266.74
2015-03-24,,266.58,267.0,244.15,245.6
2015-03-25,,247.47,249.19,236.51,246.2
2015-03-26,,246.28,254.35,244.9,248.53
2015-03-27,,248.57,256.81,245.21,247.03
2015-03-28,,246.98,254.21,246.98,252.8
2015-03-29,,252.74,253.14,240.85,242.71
2015-03-30,,242.88,249.24,239.21,247.53
2015-03-31,,247.45,248.73,242.74,244.22
2015-04-01,,244.22,247.54,241.16,247.27
2015-04-02,,247.09,254.46,245.42,253.01
2015-04-03,,253.07,256.04,251.88,254.32
2015-04-04,,254.29,255.26,251.1,253.7
2015-04-05,,253.76,260.67,251.94,260.6
2015-04-06,,260.72,261.8,254.57,255.49
2015-04-07,,255.27,255.8,252.21,253.18
2015-04-08,,253.06,253.85,244.21,245.02
2015-04-09,,244.75,246.12,239.4,243.68
2015-04-10,,243.69,243.69,232.77,236.07
2015-04-11,,236.02,239.54,234.18,236.55
2015-04-12,,236.54,237.73,233.49,236.15
2015-04-13,,235.95,236.93,222.0,224.59
2015-04-14,,224.76,224.98,216.32,219.16
2015-04-15,,219.07,223.83,218.65,223.83
2015-04-16,,223.92,229.67,223.92,228.57
2015-04-17,,228.57,228.91,221.94,222.88
2015-04-18,,222.85,224.32,220.88,223.36
2015-04-19,,223.46,226.35,222.37,222.6
2015-04-20,,222.61,226.35,221.98,224.63
2015-04-21,,224.62,235.27,224.3,235.27
2015-04-22,,235.6,237.91,233.48,234.18
2015-04-23,,234.05,236.48,233.2,236.46
2015-04-24,,235.97,236.3,229.93,231.27
2015-04-25,,231.24,232.56,226.34,226.39
2015-04-26,,226.41,226.94,214.87,219.43
2015-04-27,,219.43,233.3,218.02,229.29
2015-04-28,,228.97,229.49,223.07,225.85
2015-04-29,,225.59,227.04,223.43,225.81
2015-04-30,,225.69,239.56,224.99,236.15
2015-05-01,,235.94,238.97,232.08,232.08
2015-05-02,,232.34,235.73,232.34,234.93
2015-05-03,,234.88,243.24,234.08,240.36
2015-05-04,,240.36,242.64,237.81,239.02
2015-05-05,,238.85,239.2,232.05,236.12
2015-05-06,,236.25,236.45,229.23,229.78
2015-05-07,,229.66,239.1,228.57,237.33
2015-05-08,,237.2,246.27,236.27,243.86
2015-05-09,,243.77,247.8,239.64,241.83
2015-05-10,,241.73,244.07,238.85,240.3
2015-05-11,,240.3,244.27,239.38,242.16
2015-05-12,,242.15,242.88,240.1,241.11
2015-05-13,,241.4,243.7,235.04,236.38
2015-05-14,,236.21,237.8,234.06,236.93
2015-05-15,,236.96,238.75,236.79,237.6
2015-05-16,,237.64,237.7,235.29,236.15
2015-05-17,,236.01,238.02,236.01,236.8
2015-05-18,,236.89,237.21,232.46,233.13
2015-05-19,,233.04,234.15,231.82,231.95
2015-05-20,,231.89,234.68,231.84,234.02
2015-05-21,,234.02,236.24,233.84,235.34
2015-05-22,,235.32,240.97,235.06,240.35
2015-05-23,,240.29,241.02,238.69,238.87
2015-05-24,,238.98,241.98,238.81,240.95
2015-05-25,,240.93,241.02,236.64,237.11
2015-05-26,,237.1,238.24,235.69,237.12
2015-05-27,,237.07,238.64,236.7,237.28
2015-05-28,,237.26,237.82,236.65,237.41
2015-05-29,,237.38,237.52,235.73,237.1
2015-05-30,,237.09,237.09,232.05,233.35
2015-05-31,,233.13,233.25,229.54,230.19
2015-06-01,,230.23,231.71,221.3,222.93
2015-06-02,,222.89,226.42,222.42,225.8
2015-06-03,,225.74,227.4,223.93,225.87
2015-06-04,,225.77,226.58,224.05,224.32
2015-06-05,,224.15,225.97,223.18,224.95
2015-06-06,,225.01,225.72,224.38,225.62
2015-06-07,,225.6,226.19,222.65,222.88
2015-06-08,,222.88,229.46,222.84,228.49
2015-06-09,,228.54,230.95,227.93,229.05
2015-06-10,,228.99,229.78,228.01,228.8
2015-06-11,,228.85,230.29,228.77,229.71
2015-06-12,,229.71,231.06,229.31,229.98
2015-06-13,,229.92,232.65,229.21,232.4
2015-06-14,,232.44,234.86,232.0,233.54
2015-06-15,,233.42,237.84,233.42,236.82
2015-06-16,,236.76,251.74,236.12,250.9
2015-06-17,,250.82,256.85,246.48,249.28
2015-06-18,,249.43,252.11,244.13,249.01
2015-06-19,,249.04,250.98,243.79,244.61
2015-06-20,,244.53,245.83,240.63,245.21
2015-06-21,,245.1,245.22,241.88,243.94
2015-06-22,,243.97,247.92,243.78,246.99
2015-06-23,,246.93,247.3,243.13,244.3
2015-06-24,,244.28,244.34,240.51,240.51
2015-06-25,,240.37,243.33,240.37,242.8
2015-06-26,,242.6,243.75,241.55,243.59
2015-06-27,,243.55,251.34,243.12,250.99
2015-06-28,,250.96,251.17,247.43,249.01
2015-06-29,,248.72,257.17,248.58,257.06
2015-06-30,,257.04,267.87,255.95,263.07
2015-07-01,,263.35,265.17,255.77,258.62
2015-07-02,,258.55,261.63,254.12,255.41
2015-07-03,,255.46,257.08,253.51,256.34
2015-07-04,,256.49,261.46,254.2,260.89
2015-07-05,,260.8,274.51,258.7,271.91
2015-07-06,,271.11,277.42,267.6,269.03
2015-07-07,,269.96,271.34,264.83,266.21
2015-07-08,,265.98,272.97,264.39,270.79
2015-07-09,,270.83,272.33,267.09,269.23
2015-07-10,,269.16,294.59,268.8,284.89
2015-07-11,,284.88,298.51,283.53,293.11
2015-07-12,,293.14,314.39,292.51,310.87
2015-07-13,,310.83,310.95,281.01,292.05
2015-07-14,,292.03,296.15,286.64,287.46
2015-07-15,,288.05,293.25,285.37,285.83
2015-07-16,,286.04,291.18,275.24,278.09
2015-07-17,,278.09,280.28,272.04,279.47
2015-07-18,,279.33,282.53,274.08,274.9
2015-07-19,,274.77,275.67,272.51,273.61
2015-07-20,,273.5,278.98,272.96,278.98
2015-07-21,,278.88,280.55,275.42,275.83
2015-07-22,,275.66,277.67,274.38,277.22
2015-07-23,,277.34,278.11,275.72,276.05
2015-07-24,,276.01,289.25,275.25,288.28
2015-07-25,,288.16,290.73,286.0,288.7
2015-07-26,,288.64,293.05,287.71,292.69
2015-07-27,,292.64,297.77,287.45,293.62
2015-07-28,,293.63,296.65,293.42,294.43
2015-07-29,,294.48,294.54,288.78,289.59
2015-07-30,,289.1,290.13,286.57,287.72
2015-07-31,,287.7,288.96,282.34,284.65
2015-08-01,,284.69,284.93,278.11,281.6
2015-08-02,,280.45,283.03,277.53,282.61
2015-08-03,,282.81,285.47,280.23,281.23
2015-08-04,,281.23,285.71,281.23,285.22
2015-08-05,,284.85,285.5,281.49,281.88
2015-08-06,,281.91,281.91,278.4,278.58
2015-08-07,,278.74,280.39,276.37,279.58
2015-08-08,,279.74,279.93,260.71,261.0
2015-08-09,,261.12,267.0,260.47,265.08
2015-08-10,,265.48,267.03,262.6,264.47
2015-08-11,,264.34,270.39,264.09,270.39
2015-08-12,,270.6,270.67,265.47,266.38
2015-08-13,,266.18,266.23,262.84,264.08
2015-08-14,,264.13,267.47,261.48,265.68
2015-08-15,,265.53,266.67,261.3,261.55
2015-08-16,,261.87,262.44,257.04,258.51
2015-08-17,,258.49,260.51,257.12,257.98
2015-08-18,,257.93,257.99,211.08,211.08
2015-08-19,,225.67,237.41,222.77,226.68
2015-08-20,,226.9,237.37,226.9,235.35
2015-08-21,,235.35,236.43,231.72,232.57
2015-08-22,,232.66,234.96,222.7,230.39
2015-08-23,,230.38,232.71,225.58,228.17
2015-08-24,,228.11,228.14,210.44,210.49
2015-08-25,,210.07,226.32,199.57,221.61
2015-08-26,,222.08,231.18,220.2,225.83
2015-08-27,,226.05,228.64,223.68,224.77
2015-08-28,,224.7,235.22,220.93,231.4
2015-08-29,,231.55,233.22,227.33,229.78
2015-08-30,,229.9,232.07,226.25,228.76
2015-08-31,,229.11,231.96,225.91,230.06
2015-09-01,,230.26,231.22,226.86,228.12
2015-09-02,,228.03,230.58,226.48,229.28
2015-09-03,,229.32,229.6,226.67,227.18
2015-09-04,,227.21,230.9,227.05,230.3
2015-09-05,,230.2,236.14,229.44,235.02
2015-09-06,,234.87,242.91,234.68,239.84
2015-09-07,,239.93,242.11,238.72,239.85
2015-09-08,,239.85,245.78,239.68,243.61
2015-09-09,,243.41,244.42,237.82,238.17
2015-09-10,,238.34,241.29,235.79,238.48
2015-09-11,,238.33,241.17,238.33,240.11
2015-09-12,,239.85,240.12,234.75,235.23
2015-09-13,,235.24,235.93,229.33,230.51
2015-09-14,,230.61,232.44,227.96,230.64
2015-09-15,,230.49,259.18,229.82,230.3
2015-09-16,,230.25,231.21,227.4,229.09
2015-09-17,,229.08,230.29,228.93,229.81
2015-09-18,,233.52,234.35,232.18,232.98
2015-09-19,,232.86,233.21,231.09,231.49
2015-09-20,,231.4,232.37,230.91,231.21
2015-09-21,,231.22,231.22,226.52,227.09
2015-09-22,,226.97,232.39,225.12,230.62
2015-09-23,,230.94,231.84,229.59,230.28
2015-09-24,,230.36,235.65,230.29,234.53
2015-09-25,,234.36,237.43,233.68,235.14
2015-09-26,,235.08,235.4,233.36,234.34
2015-09-27,,234.14,234.53,232.48,232.76
2015-09-28,,232.84,239.34,232.47,239.14
2015-09-29,,239.02,239.8,235.93,236.69
2015-09-30,,236.64,237.73,235.63,236.06
2015-10-01,,236.0,238.45,235.62,237.55
2015-10-02,,237.26,238.54,236.6,237.29
2015-10-03,,237.2,239.32,236.94,238.73
2015-10-04,,238.53,238.97,237.94,238.26
2015-10-05,,238.15,240.38,237.04,240.38
2015-10-06,,240.36,246.93,240.14,246.06
2015-10-07,,246.17,246.68,242.59,242.97
2015-10-08,,243.07,244.25,242.18,242.3
2015-10-09,,242.5,244.23,242.12,243.93
2015-10-10,,243.74,245.32,243.07,244.94
2015-10-11,,244.74,247.24,244.15,247.05
2015-10-12,,246.88,247.45,245.18,245.31
2015-10-13,,245.2,250.24,243.76,249.51
2015-10-14,,249.49,254.27,248.9,251.99
2015-10-15,,252.11,255.96,252.05,254.32
2015-10-16,,254.3,266.14,253.93,262.87
2015-10-17,,262.75,273.58,262.37,270.64
2015-10-18,,270.91,271.67,260.78,261.64
2015-10-19,,261.86,264.82,260.95,263.44
2015-10-20,,263.57,270.83,263.23,269.46
2015-10-21,,269.31,270.77,263.84,266.27
2015-10-22,,266.5,276.51,266.14,274.02
2015-10-23,,273.65,278.68,273.54,276.5
2015-10-24,,276.5,281.71,276.5,281.65
2015-10-25,,281.45,294.06,281.45,283.68
2015-10-26,,283.63,285.3,280.51,285.3
2015-10-27,,285.18,296.21,285.01,293.79
2015-10-28,,293.7,306.33,293.7,304.62
2015-10-29,,304.32,318.17,301.82,313.86
2015-10-30,,313.94,334.17,313.94,328.02
2015-10-31,,328.51,332.78,309.25,314.17
2015-11-01,,315.01,327.47,311.88,325.43
2015-11-02,,325.94,365.36,323.21,361.19
2015-11-03,,361.87,417.9,357.65,403.42
2015-11-04,,403.66,495.56,380.55,411.56
2015-11-05,,408.08,447.56,374.58,386.35
2015-11-06,,388.05,395.84,354.02,374.47
2015-11-07,,374.27,390.59,372.43,386.48
2015-11-08,,384.28,389.89,368.7,373.37
2015-11-09,,374.32,385.28,362.89,380.26
2015-11-10,,379.98,381.39,329.11,336.82
2015-11-11,,339.82,340.58,301.0,311.08
2015-11-12,,314.08,345.08,313.36,338.15
2015-11-13,,338.5,340.91,326.08,336.75
2015-11-14,,336.62,338.18,329.97,332.91
2015-11-15,,333.05,334.66,317.49,320.17
2015-11-16,,319.73,331.63,315.9,330.75
2015-11-17,,330.36,338.35,329.61,335.09
2015-11-18,,334.59,336.53,330.64,334.59
2015-11-19,,334.68,335.33,325.27,326.15
2015-11-20,,326.41,326.47,312.22,322.02
2015-11-21,,322.09,328.16,319.6,326.93
2015-11-22,,326.98,327.01,321.26,324.54
2015-11-23,,324.35,325.12,321.29,323.05
2015-11-24,,323.01,323.06,318.12,320.05
2015-11-25,,320.05,329.13,316.77,328.21
2015-11-26,,328.3,366.76,328.23,352.68
2015-11-27,,351.86,363.59,347.87,358.04
2015-11-28,,357.14,359.54,352.17,357.38
2015-11-29,,357.47,371.94,355.67,371.29
2015-11-30,,371.44,382.36,370.38,377.32
2015-12-01,,377.41,378.93,356.56,362.49
2015-12-02,,361.85,362.23,349.46,359.19
2015-12-03,,359.33,370.27,357.41,361.05
2015-12-04,,361.26,363.52,355.76,363.18
2015-12-05,,363.72,389.79,363.23,388.95
2015-12-06,,389.55,402.81,387.09,388.78
2015-12-07,,389.98,399.97,385.41,395.54
2015-12-08,,395.75,415.56,389.95,415.56
2015-12-09,,414.44,423.12,406.29,417.56
2015-12-10,,417.99,419.51,411.55,415.48
2015-12-11,,415.28,451.94,415.28,451.94
2015-12-12,,452.33,469.1,410.74,435.0
2015-12-13,,431.66,441.68,426.27,433.76
2015-12-14,,433.27,447.14,430.46,444.18
2015-12-15,,443.88,465.32,443.88,465.32
2015-12-16,,465.21,465.21,443.85,454.93
2015-12-17,,454.78,457.86,448.86,456.08
2015-12-18,,455.85,465.18,454.94,463.62
2015-12-19,,463.55,465.58,456.77,462.32
2015-12-20,,462.23,462.64,434.34,442.68
2015-12-21,,442.84,444.73,427.31,438.64
2015-12-22,,437.44,443.69,435.52,436.57
2015-12-23,,436.72,444.53,436.62,442.4
2015-12-24,,443.09,458.46,443.08,454.98
2015-12-25,,454.86,458.3,452.08,455.65
2015-12-26,,455.76,457.49,405.76,417.27
2015-12-27,,416.51,424.01,408.88,422.82
2015-12-28,,423.34,429.77,418.48,422.28
2015-12-29,,422.1,432.98,420.63,432.98
2015-12-30,,433.3,434.39,422.08,426.62
2015-12-31,,425.88,432.92,418.73,430.57
2016-01-01,,430.72,436.25,427.52,434.33
2016-01-02,,434.62,436.06,431.87,433.44
2016-01-03,,433.58,433.74,424.71,430.01
2016-01-04,,430.06,434.52,429.08,433.09
2016-01-05,,433.07,434.18,429.68,431.96
2016-01-06,,431.86,431.86,426.34,429.11
2016-01-07,,430.01,458.77,429.08,458.05
2016-01-08,,457.54,462.93,447.94,453.23
2016-01-09,,453.38,454.64,446.89,447.61
2016-01-10,,448.24,448.31,440.35,447.99
2016-01-11,,448.7,450.66,443.86,448.43
2016-01-12,,448.18,448.18,435.69,435.69
2016-01-13,,434.67,435.19,424.44,432.37
2016-01-14,,432.29,433.32,427.85,430.31
2016-01-15,,430.26,430.26,364.33,364.33
2016-01-16,,365.07,390.56,354.91,387.54
2016-01-17,,387.15,390.96,380.09,382.3
2016-01-18,,381.73,388.1,376.67,387.17
2016-01-19,,387.03,387.73,378.97,380.15
2016-01-20,,379.74,425.27,376.6,420.23
2016-01-21,,419.63,422.88,406.3,410.26
2016-01-22,,409.75,410.41,375.28,382.49
2016-01-23,,382.43,394.54,381.98,387.49
2016-01-24,,388.1,405.48,387.51,402.97
2016-01-25,,402.32,402.32,388.55,391.73
2016-01-26,,392.0,397.77,390.58,392.15
2016-01-27,,392.44,396.84,391.78,394.97
2016-01-28,,395.15,395.5,379.73,380.29
2016-01-29,,380.11,384.38,365.45,379.47
2016-01-30,,378.86,380.92,376.49,378.26
2016-01-31,,378.29,380.35,367.83,368.77
2016-02-01,,369.35,378.07,367.96,373.06
2016-02-02,,372.92,375.88,372.92,374.45
2016-02-03,,374.65,374.95,368.05,369.95
2016-02-04,,370.17,391.61,369.99,389.59
2016-02-05,,388.9,391.09,385.57,386.55
2016-02-06,,386.59,386.63,372.39,376.52
2016-02-07,,376.51,380.87,374.9,376.62
2016-02-08,,376.76,379.88,373.33,373.45
2016-02-09,,373.42,377.25,372.9,376.03
2016-02-10,,376.15,385.48,375.78,381.65
2016-02-11,,382.11,383.13,376.4,379.65
2016-02-12,,379.69,384.95,379.6,384.26
2016-02-13,,384.64,391.86,384.64,391.86
2016-02-14,,392.93,407.23,392.93,407.23
2016-02-15,,407.57,410.38,397.75,400.18
2016-02-16,,401.43,408.95,401.43,407.49
2016-02-17,,407.66,421.17,406.78,416.32
2016-02-18,,416.57,426.0,415.64,422.37
2016-02-19,,422.73,423.1,417.6,420.79
2016-02-20,,421.6,441.98,421.6,437.16
2016-02-21,,437.77,448.05,429.08,438.8
2016-02-22,,438.99,439.05,432.92,437.75
2016-02-23,,438.26,439.86,417.82,420.74
2016-02-24,,420.96,425.55,413.91,424.95
2016-02-25,,425.04,427.72,420.42,424.54
2016-02-26,,424.63,432.15,421.62,432.15
2016-02-27,,432.84,434.23,428.1,432.52
2016-02-28,,432.57,435.68,423.82,433.5
2016-02-29,,433.44,441.51,431.69,437.7
2016-03-01,,437.92,439.65,432.32,435.12
2016-03-02,,435.13,435.92,423.99,423.99
2016-03-03,,423.91,425.37,419.41,421.65
2016-03-04,,421.84,425.18,410.94,410.94
2016-03-05,,410.78,411.26,394.04,400.57
2016-03-06,,400.52,411.91,395.78,407.71
2016-03-07,,407.76,415.92,406.31,414.32
2016-03-08,,414.46,416.24,411.09,413.97
2016-03-09,,413.89,416.03,411.61,414.86
2016-03-10,,414.74,417.51,413.25,417.13
2016-03-11,,417.24,423.93,417.01,421.69
2016-03-12,,421.61,421.8,410.09,411.62
2016-03-13,,411.65,416.6,411.64,414.07
2016-03-14,,414.2,416.68,414.2,416.44
2016-03-15,,416.39,418.13,414.98,416.83
2016-03-16,,416.89,417.69,415.91,417.01
2016-03-17,,417.89,421.0,417.89,420.62
2016-03-18,,420.55,420.55,406.14,409.55
2016-03-19,,409.27,410.98,407.23,410.44
2016-03-20,,410.4,414.63,410.4,413.76
2016-03-21,,413.42,413.42,410.38,413.31
2016-03-22,,413.13,418.38,412.53,418.09
2016-03-23,,418.16,419.27,417.36,418.04
2016-03-24,,418.42,418.68,415.49,416.39
2016-03-25,,416.51,418.08,415.56,417.18
2016-03-26,,417.36,418.99,416.26,417.95
2016-03-27,,418.14,428.8,417.71,426.77
2016-03-28,,426.55,426.86,423.29,424.23
2016-03-29,,424.3,426.2,412.68,416.52
2016-03-30,,416.83,416.83,412.5,414.82
2016-03-31,,415.26,418.37,415.26,416.73
2016-04-01,,416.76,418.17,415.83,417.96
2016-04-02,,418.42,422.08,418.42,420.87
2016-04-03,,421.17,421.58,419.7,420.9
2016-04-04,,421.3,422.34,419.6,421.44
2016-04-05,,421.02,424.26,420.61,424.03
2016-04-06,,424.28,424.53,422.73,423.41
2016-04-07,,423.62,423.66,420.52,422.74
2016-04-08,,422.91,425.36,419.64,420.35
2016-04-09,,420.81,420.89,416.52,419.41
2016-04-10,,419.59,422.43,419.26,421.56
2016-04-11,,421.87,422.74,420.53,422.48
2016-04-12,,422.84,427.28,422.84,425.19
2016-04-13,,425.63,426.66,422.92,423.73
2016-04-14,,423.93,425.37,423.01,424.28
2016-04-15,,424.43,429.93,424.43,429.71
2016-04-16,,429.58,432.63,428.98,430.57
2016-04-17,,430.64,431.37,426.08,427.4
2016-04-18,,427.61,429.27,427.09,428.59
2016-04-19,,428.7,436.02,428.1,435.51
